sample_id	population	superpopulation	tier	n_qualifying_variants	n_qualifying_genes	n_genes_with_shet	n_genes_missing_shet	n_high_pli_genes	sum_shet	max_shet	shet_burden	mean_cns_expression_percentile	max_cns_expression_percentile	empirical_percentile_within_1000G_EUR
NA12340	CEU	EUR	chen_broad_ptv_gnomad1e5_ac1_pli90	4	4	4	0	4	0.30725199999999997	0.131018	0.2753454482187575	80.842175	89.7062	93.14285714285714
NA12413	CEU	EUR	chen_broad_ptv_gnomad1e5_ac1_pli90	4	3	3	0	3	0.288243	0.134764	0.26307820360051193	88.0508	91.5372	91.80952380952381
HG01607	IBS	EUR	chen_broad_ptv_gnomad1e5_ac1_pli90	3	3	3	0	3	0.44542800000000005	0.275414	0.3960912483478176	83.3532	88.8219	98.28571428571429
NA20503	TSI	EUR	chen_broad_ptv_gnomad1e5_ac1_pli90	3	3	3	0	3	0.42811699999999997	0.207621	0.3728867403546462	88.3972	94.2223	98.0952380952381
NA12343	CEU	EUR	chen_broad_ptv_gnomad1e5_ac1_pli90	3	3	3	0	3	0.374937	0.208179	0.3355757570658736	95.09126666666667	97.7811	96.0
HG01516	IBS	EUR	chen_broad_ptv_gnomad1e5_ac1_pli90	3	2	2	0	2	0.312168	0.29383	0.30677974546	92.34774999999999	98.6655	94.66666666666667
NA12813	CEU	EUR	chen_broad_ptv_gnomad1e5_ac1_pli90	3	3	3	0	3	0.256266	0.131506	0.2365694401190993	86.63440000000001	98.0106	89.14285714285714
HG00332	FIN	EUR	chen_broad_ptv_gnomad1e5_ac1_pli90	3	1	1	0	1	0.157727	0.157727	0.15772699999999995	77.9694	77.9694	83.42857142857143
HG00141	GBR	EUR	chen_broad_ptv_gnomad1e5_ac1_pli90	3	2	2	0	2	0.13193	0.095175	0.12843184287499998	74.9195	87.224	80.19047619047619
NA12287	CEU	EUR	gardner_core_ptv_gnomad1e3_ac1	13	13	11	2	2	0.18504299999999999	0.061118	0.1716662414709781	82.14066153846154	95.8255	82.66666666666667
NA20783	TSI	EUR	gardner_core_ptv_gnomad1e3_ac1	12	11	9	2	1	0.506592	0.387813	0.4573620012801116	77.07368181818183	96.0569	98.85714285714286
NA20763	TSI	EUR	gardner_core_ptv_gnomad1e3_ac1	10	10	7	3	1	0.563472	0.268742	0.4657783963625498	78.72987	96.943	99.04761904761905
HG01695	IBS	EUR	gardner_core_ptv_gnomad1e3_ac1	10	10	9	1	0	0.261924	0.080564	0.2364918888277351	77.12699	89.1938	90.85714285714286
NA20772	TSI	EUR	gardner_core_ptv_gnomad1e3_ac1	10	10	8	2	3	0.20379	0.095038	0.18945288971811114	79.74002	97.6049	85.71428571428571
